Nome,Construção,Linha,Inauguração,Idade
Ana Rosa (Linha 1-Azul),Metrô,1,1975-02-14,44
Armênia,Metrô,1,1975-09-26,44
Carandiru,Metrô,1,1975-09-26,44
Conceição,Metrô,1,1974-09-14,45
Jabaquara,Metrô,1,1974-09-14,45
Jardim São Paulo,Metrô,1,1998-04-29,21
Liberdade,Metrô,1,1975-02-17,44
Luz (Linha 1-Azul),Metrô,1,1975-09-26,44
Parada Inglesa,Metrô,1,1998-04-29,21
Paraíso (Linha 1-Azul),Metrô,1,1975-02-17,44
Praça da Árvore,Metrô,1,1974-09-14,45
Santa Cruz (Linha 1-Azul),Metrô,1,1974-09-14,45
Santana,Metrô,1,1975-09-26,44
Saúde,Metrô,1,1974-09-14,45
São Bento,Metrô,1,1975-09-26,44
São Joaquim,Metrô,1,1975-02-17,44
São Judas,Metrô,1,1974-09-14,45
Sé (Linha 1-Azul),Metrô,1,1978-02-17,41
Tietê,Metrô,1,1975-09-26,44
Tiradentes,Metrô,1,1975-09-26,44
Tucuruvi,Metrô,1,1998-04-29,21
Vergueiro,Metrô,1,1975-02-17,44
Vila Mariana,Metrô,1,1974-09-14,45
Alto do Ipiranga,Metrô,2,2007-06-30,12
Ana Rosa (Linha 2-Verde),Metrô,2,1992-09-12,27
Brigadeiro,Metrô,2,1991-01-25,28
Chácara Klabin (Linha 2-Verde),Metrô,2,2006-05-09,13
Clínicas,Metrô,2,1992-09-12,27
Consolação (Linha 2-Verde),Metrô,2,1991-01-25,28
Paraíso (Linha 2-Verde),Metrô,2,1991-01-25,28
Sacomã,Metrô,2,2010-01-10,10
Santos-Imigrantes,Metrô,2,2006-03-30,13
Sumaré,Metrô,2,1998-11-21,21
Tamanduateí (Linha 2-Verde),Metrô,2,2010-09-21,9
Trianon-Masp,Metrô,2,1991-01-25,28
Vila Madalena,Metrô,2,1998-11-21,21
Vila Prudente (Linha 2-Verde),Metrô,2,2010-08-21,9
Anhangabaú,Metrô,3,1983-11-26,36
Artur Alvim,Metrô,3,1988-09-17,31
Belém,Metrô,3,1981-09-05,38
Bresser-Mooca,Metrô,3,1980-08-23,39
Brás (Linha 3-Vermelha),Metrô,3,1979-03-10,40
Carrão,Metrô,3,1986-05-31,33
Corinthians-Itaquera (Linha 3-Vermelha),Metrô,3,1988-10-01,31
Guilhermina-Esperança,Metrô,3,1988-08-27,31
Marechal Deodoro,Metrô,3,1988-12-17,31
Palmeiras–Barra Funda (Linha 3-Vermelha),Metrô,3,1988-12-17,31
Patriarca,Metrô,3,1988-09-17,31
Pedro II,Metrô,3,1980-08-23,39
Penha,Metrô,3,1986-05-31,33
República (Linha 3-Vermelha),Metrô,3,1982-04-24,37
Santa Cecília,Metrô,3,1983-12-10,36
Tatuapé (Linha 3-Vermelha),Metrô,3,1981-11-05,38
Vila Matilde,Metrô,3,1988-08-27,31
Butantã,Metrô,4,2011-03-28,8
Faria Lima,Metrô,4,2010-05-25,9
Fradique Coutinho,Metrô,4,2014-11-15,5
Higienópolis–Mackenzie,Metrô,4,2018-01-23,2
Luz (Linha 4-Amarela),Metrô,4,2011-09-15,8
Oscar Freire,Metrô,4,2018-04-04,1
Paulista,Metrô,4,2010-05-25,9
Pinheiros (Linha 4-Amarela),Metrô,4,2011-05-16,8
República (Linha 4-Amarela),Metrô,4,2011-09-15,8
São Paulo-Morumbi,Metrô,4,2018-10-27,1
Vila Sônia,Metrô,4,2021-12-17,3
AACD-Servidor,Metrô,5,2018-08-31,1
Adolfo Pinheiro,Metrô,5,2014-02-12,5
Alto da Boa Vista,Metrô,5,2017-09-06,2
Borba Gato,Metrô,5,2017-09-06,2
Brooklin,Metrô,5,2017-09-06,2
Campo Belo,Metrô,5,2019-04-08,0
Campo Limpo,CPTM,5,2002-10-20,17
Capão Redondo,CPTM,5,2002-10-20,17
Chácara Klabin (Linha 5-Lilás),Metrô,5,2018-09-28,1
Eucaliptos,Metrô,5,2018-03-02,1
Giovanni Gronchi,CPTM,5,2002-10-20,17
Hospital São Paulo,Metrô,5,2018-09-28,1
Largo Treze,CPTM,5,2002-10-20,17
Moema,Metrô,5,2018-04-05,1
Santa Cruz (Linha 5-Lilás),Metrô,5,2018-09-28,1
Santo Amaro (Linha 5-Lilás),CPTM,5,2002-10-20,17
Vila das Belezas,CPTM,5,2002-10-20,17
Água Branca,CPTM,7,1867-02-16,152
Baltazar Fidélis,CPTM,7,1955-09-01,64
Botujuru,CPTM,7,1908-09-17,111
Brás,CPTM,7,1867-02-16,152
Caieiras,CPTM,7,1883-07-01,136
